model	hp	gear
Mazda-RX4	110	4
Mazda RX4 Wag	110	4
Datsun 710	93	4
Hornet 4 Drive	110	3
Hornet Sportabout	175	3
Valiant	105	3
Duster 360	245	3
Merc 240D	62	4
Merc 230	95	4
Merc 280	123	4
Merc 280C	123	4
Merc 450SE	180	3
Merc 450SL	180	3
Merc 450SLC	180	3
Cadillac Fleetwood	205	3
Lincoln Continental	215	3
Chrysler Imperial	230	3
Fiat 128	66	4
Honda Civic	52	4
Toyota Corolla	65	4
Toyota Corona	97	3
Dodge Challenger	150	3
AMC Javelin	150	3
Camaro Z28	245	3
Pontiac Firebird	175	3
Fiat X1-9	66	4
Porsche 914-2	91	5
Lotus Europa	113	5
Ford Pantera L	264	5
Ferrari Dino	175	5
Maserati Bora	335	5
Volvo 142E	109	4
